sg_uf;nm_municipio;nm_candidato;ds_cargo;nr_candidato;sg_partido;nr_turno;ds_sit_totalizacao;qt_votos_validos;qt_votos_nominais;dt_carga
AC;BUJARI;JORGE HENRIQUE MELO MULATO;Deputado Federal;5151;PATRIOTA;1;Não Eleito;7210;1;2022-11-14 18:47:07
AC;BUJARI;JORGE LUIS SILVA E SILVA;Deputado Federal;1234;PDT;1;Não Eleito;7210;3;2022-11-14 18:47:07
AC;BUJARI;JORGE NEY VIANA MACEDO NEVES;Governador;13;PT;1;Não Eleito;7029;1670;2022-11-14 18:47:07
AC;BUJARI;JOSE AUGUSTO PINHEIRO DA SILVEIRA;Deputado Estadual;55456;PSD;1;Suplente;7241;24;2022-11-14 18:47:07
AC;BUJARI;JOSE AUGUSTO SOUZA ARAUJO;Deputado Estadual;44111;UNIÃO;1;Suplente;7241;12;2022-11-14 18:47:07
AC;BUJARI;JOSE DE SOUZA ROCHA;Deputado Federal;5011;PSOL;1;Não Eleito;7210;1;2022-11-14 18:47:07
AC;BUJARI;JOSE JUAREZ LEITÃO DOS SANTOS;Deputado Federal;5588;PSD;1;Não Eleito;7210;15;2022-11-14 18:47:07
AC;BUJARI;JOSE LOPES JUNIOR;Deputado Estadual;22345;PL;1;Suplente;7241;51;2022-11-14 18:47:07
AC;BUJARI;JOSE MARIA EYMAEL;Presidente;27;DC;1;Não Eleito;7263;0;2022-11-14 18:47:07
AC;BUJARI;JOSE ROBERTO PINTO DE LIMA;Deputado Estadual;36000;AGIR;1;Não Eleito;7241;1;2022-11-14 18:47:07
AC;BUJARI;JOSE TARCISIO MEDEIROS DE MORAES;Deputado Estadual;22500;PL;1;Suplente;7241;43;2022-11-14 18:47:07
AC;BUJARI;JOSEMIR ANUTE DOS SANTOS;Deputado Estadual;51888;PATRIOTA;1;Não Eleito;7241;37;2022-11-14 18:47:07
AC;BUJARI;JOSENIL COSTA CHAVES;Deputado Estadual;22555;PL;1;Suplente;7241;19;2022-11-14 18:47:07
AC;BUJARI;JOSSICLEUDO SAMPAIO DE MELO;Deputado Estadual;77122;SOLIDARIEDADE;1;Não Eleito;7241;0;2022-11-14 18:47:07
AC;BUJARI;JOSUE SANTIAGO MENDONÇA;Deputado Estadual;10190;REPUBLICANOS;1;Suplente;7241;0;2022-11-14 18:47:07
AC;BUJARI;JOSUÉ DOURADO DE ABREU;Deputado Estadual;12345;PDT;1;Suplente;7241;26;2022-11-14 18:47:07
AC;BUJARI;JOSÉ ADAILTON CRUZ PEREIRA;Deputado Estadual;40222;PSB;1;Eleito;7241;108;2022-11-14 18:47:07
AC;BUJARI;JOSÉ ADRIANO RIBEIRO DA SILVA;Deputado Federal;1100;PP;1;Suplente;7210;465;2022-11-14 18:47:07
AC;BUJARI;JOSÉ AFONSO VASCONCELOS FERNANDES;Deputado Estadual;22223;PL;1;Eleito;7241;69;2022-11-14 18:47:07
AC;BUJARI;JOSÉ ALTANIZIO TAUMATURGO SÁ;Deputado Estadual;15555;MDB;1;Eleito;7241;21;2022-11-14 18:47:07
AC;BUJARI;JOSÉ ARAUJO DA SILVA COSTA;Deputado Estadual;90555;PROS;1;Não Eleito;7241;2;2022-11-14 18:47:07
AC;BUJARI;JOSÉ ARNALDO DA SILVA BARROS;Deputado Estadual;19456;PODE;1;Suplente;7241;31;2022-11-14 18:47:07
AC;BUJARI;JOSÉ CICERO SANTIAGO;Deputado Estadual;11321;PP;1;Suplente;7241;1;2022-11-14 18:47:07
