sg_uf;nm_municipio;nm_candidato;ds_cargo;nr_candidato;sg_partido;nr_turno;ds_sit_totalizacao;qt_votos_validos;qt_votos_nominais;dt_carga
AP;OIAPOQUE;JOSE CLAUDIO DE SOUZA PELAES;Deputado Estadual;28999;PRTB;1;Não Eleito;13635;40;2022-11-14 18:47:07
AP;OIAPOQUE;JOSE GABRIEL RAIOL ABREU;Deputado Estadual;40411;PSB;1;Não Eleito;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;JOSE HORACIO DE MATOS DIAS;Deputado Estadual;44190;UNIÃO;1;Suplente;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;JOSE LUIS MERCURIO;Deputado Federal;1407;PTB;1;Não Eleito;13864;27;2022-11-14 18:47:07
AP;OIAPOQUE;JOSE MARIA EYMAEL;Presidente;27;DC;1;Não Eleito;14076;2;2022-11-14 18:47:07
AP;OIAPOQUE;JOSE NATANAEL LIMA DOS ANJOS;Deputado Estadual;14655;PTB;1;Não Eleito;13635;2;2022-11-14 18:47:07
AP;OIAPOQUE;JOSE ROBERTO AFONSO PANTOJA;Deputado Federal;4055;PSB;1;Não Eleito;13864;1;2022-11-14 18:47:07
AP;OIAPOQUE;JOSE TUPINAMBA PEREIRA DE SOUSA;Deputado Estadual;20900;PSC;1;Não Eleito;13635;24;2022-11-14 18:47:07
AP;OIAPOQUE;JOSENILDO SANTOS ABRANTES;Deputado Federal;1212;PDT;1;Eleito;13864;639;2022-11-14 18:47:07
AP;OIAPOQUE;JOSIVALDO FERNANDES DA SILVA;Deputado Estadual;11011;PP;1;Suplente;13635;69;2022-11-14 18:47:07
AP;OIAPOQUE;JOSOÉ ASSUNÇÃO BAÍA;Deputado Estadual;19222;PODE;1;Suplente;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;JOSÉ AUGUSTO PUPIO REIS JÚNIOR;Deputado Federal;1510;MDB;1;Eleito;13864;91;2022-11-14 18:47:07
AP;OIAPOQUE;JOSÉ AURIVAM GOMES DA SILVA;Deputado Estadual;55222;PSD;1;Suplente;13635;9;2022-11-14 18:47:07
AP;OIAPOQUE;JOSÉ CARLOS CARVALHO BARBOSA;Deputado Estadual;22369;PL;1;Eleito;13635;412;2022-11-14 18:47:07
AP;OIAPOQUE;JOSÉ HERNANDES LOPES TRINDADE;Deputado Estadual;77765;SOLIDARIEDADE;1;Suplente;13635;2;2022-11-14 18:47:07
AP;OIAPOQUE;JOSÉ KLENIO DOS REIS;Deputado Estadual;90456;PROS;1;Suplente;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;JOSÉ LUIZ DA SILVA FERREIRA;Deputado Estadual;20500;PSC;1;Não Eleito;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;JOSÉ MAURO SECCO;Deputado Federal;1580;MDB;1;Suplente;13864;32;2022-11-14 18:47:07
AP;OIAPOQUE;JOSÉ ROBERTO BARBOSA PRATA;Deputado Estadual;10580;REPUBLICANOS;1;Suplente;13635;24;2022-11-14 18:47:07
AP;OIAPOQUE;JOSÉ ROBERTO DA SILVA BRITO;Deputado Federal;2022;PSC;1;Não Eleito;13864;0;2022-11-14 18:47:07
AP;OIAPOQUE;JOSÉ WILLIAN DA SILVA LEITE;Deputado Estadual;11190;PP;1;Suplente;13635;6;2022-11-14 18:47:07
AP;OIAPOQUE;JOÃO DA SILVA PAIVA;Deputado Estadual;55007;PSD;1;Suplente;13635;0;2022-11-14 18:47:07
AP;OIAPOQUE;JOÃO DE DEUS MACIEL FILHO;Deputado Estadual;22444;PL;1;Suplente;13635;5;2022-11-14 18:47:07
AP;OIAPOQUE;JOÃO DE DEUS RODRIGUES DE SALES;Deputado Estadual;10369;REPUBLICANOS;1;Suplente;13635;4;2022-11-14 18:47:07
AP;OIAPOQUE;JOÃO DE JESUS DOS SANTOS DA SILVA;Deputado Federal;5151;PATRIOTA;1;Não Eleito;13864;0;2022-11-14 18:47:07
AP;OIAPOQUE;JOÃO JORGE GOULART SALOMÃO DE SANTANA;Deputado Estadual;22222;PL;1;Suplente;13635;14;2022-11-14 18:47:07
AP;OIAPOQUE;JOÃO TADEU DA SILVA;Deputado Estadual;11369;PP;1;Suplente;13635;8;2022-11-14 18:47:07
AP;OIAPOQUE;JUCELINO FERNANDES;Deputado Estadual;10500;REPUBLICANOS;1;Suplente;13635;5;2022-11-14 18:47:07
AP;OIAPOQUE;JULIANO DEL CASTILO SILVA;Deputado Estadual;40123;PSB;1;Não Eleito;13635;3;2022-11-14 18:47:07
AP;OIAPOQUE;JURACI PICANÇO DE ALMEIDA;Deputado Federal;1112;PP;1;Não Eleito;13864;7;2022-11-14 18:47:07
